ID,ФИО,Возраст,Пол,Группа,Город,Математика,Информатика,Физика,Посещаемость,Проект,Средний_балл,Стипендия
1,Иванов Тимофей Андреевич,20,М,ПМ-202,Казань,92,56,83,94,55,71.5,Нет
2,Иванова Анна Дмитриевна,20,Ж,ПМ-202,Красноярск,83,51,75,72,95,76.0,Нет
3,Смирнова Полина Николаевна,21,Ж,ПИ-101,Казань,89,77,61,77,59,71.5,Нет
4,Лебедев Никита Дмитриевич,18,М,ДА-401,Санкт-Петербург,67,72,78,76,52,67.25,Нет
5,Федорова Мария Павловна,18,Ж,ИС-301,Уфа,84,73,76,72,95,82.0,Нет
6,Иванов Даниил Сергеевич,21,М,ПИ-102,Новосибирск,100,56,64,77,79,74.75,Нет
7,Сидорова Дарья Михайловна,20,Ж,ИС-301,Пермь,88,91,44,98,90,78.25,Да
8,Федоров Тимофей Сергеевич,19,М,ДА-402,Самара,62,90,84,95,64,75.0,Да
9,Семенова Валерия Александровна,20,Ж,ПИ-101,Нижний Новгород,70,67,44,73,86,66.75,Нет
10,Смирнова Анастасия Владимировна,23,Ж,ДА-402,Казань,61,58,55,95,84,64.5,Нет
11,Алексеева Ксения Павловна,23,Ж,ИС-302,Новосибирск,53,82,71,65,98,76.0,Нет
12,Семенов Дмитрий Иванович,19,М,ДА-401,Ростов-на-Дону,49,74,64,98,79,66.5,Нет
13,Федорова Диана Александровна,18,Ж,ИС-301,Уфа,66,57,58,87,60,60.25,Нет
14,Иванова Вероника Андреевна,19,Ж,ПИ-102,Уфа,64,90,72,98,62,72.0,Нет
15,Попов Роман Иванович,17,М,ИС-302,Томск,46,57,99,83,69,67.75,Нет
16,Иванов Иван Николаевич,18,М,ПИ-102,Пермь,76,54,88,94,99,79.25,Да
17,Сидоров Даниил Владимирович,19,М,ИС-301,Красноярск,100,88,67,73,84,84.75,Нет
18,Алексеев Артем Павлович,22,М,ДА-402,Красноярск,73,57,55,74,54,59.75,Нет
19,Иванова Ксения Игоревна,20,Ж,ПМ-202,Москва,49,95,80,63,64,72.0,Нет
20,Егоров Александр Михайлович,18,М,ПМ-202,Екатеринбург,87,81,53,94,58,69.75,Нет
21,Смирнова Валерия Владимировна,23,Ж,ПМ-202,Санкт-Петербург,51,92,67,82,77,71.75,Нет
22,Новикова Диана Александровна,18,Ж,ПИ-101,Самара,91,71,91,66,65,79.5,Нет
23,Смирнов Андрей Владимирович,19,М,ДА-401,Казань,62,79,55,64,78,68.5,Нет
24,Иванов Даниил Игоревич,17,М,ПИ-102,Новосибирск,55,76,71,90,63,66.25,Нет
25,Егорова Анна Ивановна,23,Ж,ПИ-101,Самара,61,100,90,89,68,79.75,Да
26,Алексеева Вероника Игоревна,24,Ж,ПМ-201,Новосибирск,63,63,43,97,97,66.5,Нет
27,Алексеев Никита Александрович,17,М,ДА-402,Красноярск,99,83,50,63,82,78.5,Нет
28,Семенов Максим Дмитриевич,18,М,ПМ-202,Самара,52,86,55,97,88,70.25,Нет
29,Морозов Дмитрий Павлович,22,М,ИС-301,Новосибирск,87,95,60,75,66,77.0,Нет
30,Сидорова Анастасия Андреевна,24,Ж,ИС-302,Санкт-Петербург,45,79,79,96,56,64.75,Нет
31,Федоров Иван Игоревич,21,М,ПМ-201,Нижний Новгород,49,65,63,78,60,59.25,Нет
32,Семенова Елизавета Андреевна,17,Ж,ИС-301,Уфа,51,58,56,67,56,55.25,Нет
33,Кузнецов Артем Николаевич,20,М,ИС-302,Новосибирск,88,90,94,76,82,88.5,Нет
34,Кузнецова Наталья Александровна,18,Ж,ДА-401,Екатеринбург,47,50,61,68,90,62.0,Нет
35,Сидорова Вероника Владимировна,23,Ж,ПИ-101,Санкт-Петербург,49,94,97,69,84,81.0,Нет
36,Семенов Никита Николаевич,19,М,ДА-401,Казань,47,69,63,62,72,62.75,Нет
37,Волков Иван Дмитриевич,22,М,ДА-401,Ростов-на-Дону,92,59,99,75,60,77.5,Нет
38,Егоров Егор Александрович,19,М,ИС-302,Самара,96,92,95,75,67,87.5,Нет
39,Лебедев Тимофей Дмитриевич,23,М,ПИ-101,Томск,59,62,92,89,72,71.25,Нет
40,Семенова Валерия Сергеевна,20,Ж,ПИ-101,Уфа,57,75,61,77,54,61.75,Нет
41,Попова Анастасия Игоревна,23,Ж,ИС-302,Москва,52,66,51,97,66,58.75,Нет
42,Петров Михаил Павлович,22,М,ИС-302,Самара,83,82,47,84,86,74.5,Нет
43,Кузнецов Александр Павлович,17,М,ПМ-202,Нижний Новгород,72,54,100,81,89,78.75,Да
44,Волкова Диана Дмитриевна,21,Ж,ИС-301,Уфа,71,70,65,78,85,72.75,Нет
45,Смирнов Егор Павлович,19,М,ИС-301,Самара,80,50,59,78,63,63.0,Нет
46,Лебедева Ксения Николаевна,22,Ж,ДА-402,Томск,73,93,53,92,80,74.75,Нет
47,Волков Дмитрий Андреевич,22,М,ПИ-102,Новосибирск,88,69,54,72,59,67.5,Нет
48,Иванов Иван Владимирович,18,М,ДА-402,Самара,85,86,52,84,81,76.0,Да
49,Смирнова Екатерина Александровна,18,Ж,ДА-401,Новосибирск,56,94,73,89,53,69.0,Нет
50,Егоров Илья Дмитриевич,24,М,ПМ-201,Томск,87,83,75,98,70,78.75,Да
